gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b0918,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185
b0096,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109
b3197,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185,0.01626846544071185
b0181,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109
b0179,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109,0.0162684654407109
b0085,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0088,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b3967,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0381,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b1278,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0086,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0092,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b3057,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0841,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b3189,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b3972,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0090,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0087,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b0091,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297,0.011617704504176297
b4238,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011310925367328816
b3924,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011310925367328816
b4237,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011295362119954057,0.011310925367328816
b1606,0.011219270921609247,0.011219270921609247,0.01121927092161204,0.011219270921609247,0.01121927092160847
b0048,0.011219270921609247,0.011219270921609247,0.01121927092161204,0.011219270921609247,0.01121927092160847
b2827,0.010939573055140355,0.010939573055140355,0.010939573055140355,0.010939573055140355,0.010939573055140355
b3640,0.010939573055141205,0.010939573055141205,0.010939573055141205,0.010939573055141205,0.010939573055142468
b1098,0.010939573055140355,0.010939573055140355,0.010939573055140355,0.010939573055140355,0.010939573055140355
b2251,0.010939573055141205,0.010939573055141205,0.010939573055141205,0.010939573055141205,0.010939573055142468
b4261,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b3200,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b3201,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b4262,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b3633,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b3199,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b0915,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b0182,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b0524,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924,0.008134232720355924
b3040,0.006714839212666685,0.006714839212666685,0.006714839212666685,0.006714839212666685,0.006714839212666685
b0149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b1069,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b0635,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b3396,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b2519,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b0084,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b4208,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149,0.005808852252088149
b4209,0.0032643960259322764,0.0032643960259322764,0.0032643960259322764,0.0032643960259322764,0.0032643960259322764
b0007,0.0,0.0,0.0,0.00217612465611921,0.0
b3196,0.00217612465611921,0.00217612465611921,0.00217612465611921,0.00217612465611921,0.00217612465611921
b2400,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048
b0154,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048
b1210,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048,0.0014917219544731048
b0420,0.0011852667435377972,0.0011852667435377972,0.0011852667435377972,0.0011852667435377972,0.0011852667435377972
b0155,0.001088062328059605,0.001088062328059605,0.001088062328059605,0.001088062328059605,0.001088062328059605
b1592,0.001088062328059605,0.001088062328059605,0.001088062328059605,0.001088062328059605,0.001088062328059605
b1849,0.24356541889883498,0.24356541890940353,0.24356541890898387,0.24356541892053085,0.2435674173718504
