gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b0071,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,2,0.0321807996622632
b0072,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,2,0.0321807996622632
b0074,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,1,0.0321807996622632
b4054,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,3,0.0321807996622632
b3770,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,4,0.0321807996622632
b0073,0.06278652688828645,0.06278652688828645,0.0,0.0,0.0,0.032180799662265294,1,0.0321807996622632
b4005,0.06246697172737292,0.06246697172737292,0.0,0.0,0.0,0.0318540616876442,1,0.0318540616876491
b2312,0.06246697172737292,0.06246697172737292,0.0,0.0,0.0,0.0318540616876442,1,0.0318540616876491
b2499,0.062466971727369036,0.062466971727369036,0.0,0.0,0.0,0.03185406168764422,1,0.0318540616876491
b2557,0.062466971727369036,0.062466971727369036,0.0,0.0,0.0,0.03185406168764422,1,0.0318540616876491
b2476,0.062435894186653185,0.062435894186653185,0.0,0.0,0.0,0.03182237455375961,1,0.0318223745537645
b1131,0.062435894186653185,0.062435894186653185,0.0,0.0,0.0,0.03182237455375961,2,0.0318223745537645
b0523,0.062435894186653185,0.062435894186653185,0.0,0.0,0.0,0.03182237455375961,1,0.0318223745537645
b0522,0.062435894186653185,0.062435894186653185,0.0,0.0,0.0,0.03182237455375961,1,0.0318223745537645
b2500,0.06212511877951021,0.06212511877951021,0.0,0.0,0.0,0.03150637047604851,1,0.0315063704760534
b3572,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0283896994967888
b1704,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b0754,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b2601,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b1693,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b3389,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b3281,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b0908,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b2329,0.05311318941679194,0.05311318941679194,0.0,0.0,0.0,0.02302866032634133,1,0.0230286603263399
b3390,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b0388,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,1,0.0230286603263399
b1692,0.05311318941679155,0.05311318941679155,0.0,0.0,0.0,0.023028660326341342,2,0.0230286603263399
b0171,0.052683957015879024,0.052683957015879024,0.0,0.0,0.0,0.022657953688199926,1,0.0226579536881984
b0910,0.052683957015879024,0.052683957015879024,0.0,0.0,0.0,0.022657953688199926,3,0.0226579536881984
b2472,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,1,0.0218160380658343
b3359,0.05169588632676242,0.05169588632676242,0.0,0.0,0.0,0.021816038065835677,2,0.0218160380658343
