bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b0932,pepN,COG0308,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0237,pepD,COG2195,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b4260,pepA,COG0260,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b1640,ydhH,COG2377,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b1263,trpD,COG0512,N,,,1,15.44424150377654,1.2946860245787704e-14,15.444241503776528,2729497.7313962,6.436082737681174
b1264,trpE,COG0147,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.731396206,6.436082737681175
b0776,bioF,COG0156,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.731396206,6.436082737681175
b0049,apaH,COG0639,N,,,0,15.44424150377654,15.444241503776183,3.552713678800501e-13,1385580.419226375,6.141631737345021
b4129,lysU,COG1190,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0121,speE,COG0421,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b3059,ygiH,COG0344,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0968,yccX,COG1254,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0414,ribD,COG0117,E,N,u,1,15.44424150377654,-7.128284338488208e-15,15.444241503776547,2729497.731396201,6.436082737681174
b0062,araA,COG2160,u,,,0,15.44424150377654,15.444241503776542,-1.7763568394002505e-15,1385580.4192263882,6.141631737345025
b0153,fhuB,COG0609,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0151,fhuC,COG1120,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b0152,fhuD,COG0614,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b2715,ascF,COG1263,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b3722,bglF,COG1263,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b1900,araG,COG1129,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b1901,araF,COG1879,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b2841,araE,COG0477,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b1528,ydeA,COG2814,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b4115,adiC,COG0531,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b4117,adiA,COG1982,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
b2938,speA,COG1166,N,,,0,15.44424150377654,15.44424150377642,1.1901590823981678e-13,1385580.4192263829,6.1416317373450235
