bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b2662,gabT,COG0160,N,,,1,0.9259332133632957,0.0,0.9259332133632957,10044.06403219965,4.001909472732873
b1525,yneI,COG1012,N,,,0,0.9259332133632957,0.9259332133629068,3.8891112552619234e-13,1179.4192222229112,3.071668201648767
b3117,tdcB,COG1171,N,,,1,0.9259332133632957,1.3633936000659005e-16,0.9259332133632956,8706.693993859833,3.9398532809803
b2797,sdaB,COG1760,N,,,0,0.9259332133632957,0.9259332133632368,5.895284260759581e-14,4673.072524229309,3.6696025211544616
b1814,sdaA,COG1760,N,,,0,0.9259332133632957,0.9259332133632334,6.228351168147128e-14,4673.0725242292765,3.6696025211544585
b3616,tdh,COG1063,N,,,0,0.9259332133632957,0.9259332133632334,6.228351168147128e-14,4673.0725242292765,3.6696025211544585
b3774,ilvC,COG0059,N,,,1,0.9259332133632957,0.0,0.9259332133632957,10044.064032199634,4.001909472732873
b0185,accA,COG0825,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10044.064032199629,4.001909472732872
b3256,accC,COG0439,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10044.064032199649,4.001909472732873
b3255,accB,COG0511,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10044.064032199649,4.001909472732873
b2316,accD,COG0777,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,10044.064032199649,4.001909472732873
b2615,yfjB,COG0061,E,u,u,1,0.9259332133632957,3.0026979033378843e-12,0.925933213360293,10044.06403218019,4.001909472732032
